Date,Time,Open,High,Low,Close,Volume
2011.03.24,0:00,0.8,0.9,0.8,0.9,14009
2011.03.25,0:00,0.9,0.9,0.9,0.9,4819
2011.03.26,0:00,0.9,0.9,0.8,0.9,11756
2011.03.27,0:00,0.8,0.9,0.8,0.8,5337
2011.03.28,0:00,0.8,0.9,0.8,0.8,12565
2011.03.29,0:00,0.8,0.8,0.8,0.8,4215
2011.03.30,0:00,0.8,0.8,0.8,0.8,3218
2011.03.31,0:00,0.8,0.8,0.8,0.8,6875
2011.04.01,0:00,0.8,0.8,0.8,0.8,3186
2011.04.02,0:00,0.8,0.8,0.8,0.8,2493
2011.04.03,0:00,0.8,0.8,0.8,0.8,3931
2011.04.04,0:00,0.8,0.8,0.6,0.7,31155
2011.04.05,0:00,0.7,0.8,0.6,0.7,9730
2011.04.06,0:00,0.7,0.8,0.7,0.7,8703
2011.04.07,0:00,0.7,0.8,0.7,0.8,10832
2011.04.08,0:00,0.8,0.8,0.7,0.8,18207
2011.04.09,0:00,0.8,0.8,0.7,0.7,12119
2011.04.10,0:00,0.7,0.8,0.7,0.7,5348
2011.04.11,0:00,0.7,0.8,0.7,0.8,14645
2011.04.12,0:00,0.8,0.9,0.8,0.9,1
2011.04.13,0:00,0.9,1,0.9,0.9,1
2011.04.14,0:00,0.9,1,0.9,1,31111
2011.04.15,0:00,1,1.1,0.9,1,1
2011.04.16,0:00,1,1.1,1,1.1,28869
2011.04.17,0:00,1.1,1.1,1,1.1,24225
2011.04.18,0:00,1.1,1.2,1.1,1.2,27478
2011.04.19,0:00,1.2,1.2,1.1,1.2,12556
2011.04.20,0:00,1.2,1.2,1.1,1.1,21344
2011.04.21,0:00,1.1,1.2,1.1,1.2,1
2011.04.22,0:00,1.2,1.4,1.2,1.4,1
2011.04.23,0:00,1.4,2,1.3,1.7,1084
2011.04.24,0:00,1.7,2,1.6,1.6,21541
2011.04.25,0:00,1.6,1.7,1.5,1.6,13471
2011.04.26,0:00,1.6,1.8,1.5,1.8,24054
2011.04.27,0:00,1.8,2,1.7,1.9,1
2011.04.28,0:00,1.9,2.7,1.7,2.2,1
2011.04.29,0:00,2.2,3,2.2,2.9,1
2011.04.30,0:00,2.9,4.2,2.8,3.5,1
2011.05.01,0:00,3.5,3.9,2.5,3,1
2011.05.02,0:00,3,3.5,3,3.2,18333
2011.05.03,0:00,3.2,3.5,3.1,3.4,16919
2011.05.04,0:00,3.4,3.6,3.3,3.4,17278
2011.05.05,0:00,3.4,3.5,3.3,3.3,15350
2011.05.06,0:00,3.3,3.6,3.3,3.5,23014
2011.05.07,0:00,3.5,3.7,3.4,3.6,17833
2011.05.08,0:00,3.6,3.9,3.6,3.9,21132
2011.05.09,0:00,3.9,3.9,3.7,3.8,11520
2011.05.10,0:00,3.8,6,3.8,5.8,1
2011.05.11,0:00,5.8,6.1,4.6,5.5,1
2011.05.12,0:00,5.5,6.5,5.2,6.3,31722
2011.05.13,0:00,6.3,8.5,6.3,8.2,1
2011.05.14,0:00,8.1,8.9,5.8,7.2,1
2011.05.15,0:00,7,7.8,6.2,7,18294
2011.05.16,0:00,7,8.5,6.8,8,1
2011.05.17,0:00,7.9,8.4,7,7.2,1
2011.05.18,0:00,7.2,7.5,6.6,6.9,25403
2011.05.19,0:00,6.7,7.3,6.6,6.8,24436
2011.05.20,0:00,6.8,7.1,5.6,5.6,1
2011.05.21,0:00,5.6,6.5,5.6,6.1,31111
2011.05.22,0:00,6.1,6.8,6,6.7,23872
2011.05.23,0:00,6.7,7.5,6.7,7.2,1
2011.05.24,0:00,7.2,7.5,7,7.4,29282
2011.05.25,0:00,7.4,9.3,7.2,8.4,1
2011.05.26,0:00,8.3,9,8,8.8,28644
2011.05.27,0:00,8.7,8.8,8.5,8.5,14431
2011.05.28,0:00,8.5,8.7,8.1,8.3,12247
2011.05.29,0:00,8.3,8.5,8.1,8.4,7487
2011.05.30,0:00,8.4,9,8.3,8.8,17680
2011.05.31,0:00,8.8,9.5,8.1,8.7,1
2011.06.01,0:00,8.7,9.7,8.3,9.6,1
2011.06.02,0:00,9.6,10.9,9.5,10.6,1
2011.06.03,0:00,10.6,14.5,10.6,14.3,7444
2011.06.04,0:00,14.3,18.9,14,18.9,1
2011.06.05,0:00,18.9,19,16.2,16.7,24278
2011.06.06,0:00,16.7,19.2,16.5,18.6,1
2011.06.07,0:00,18.3,24.3,18.3,23.9,1
2011.06.08,0:00,23.9,31.9,22.2,29.6,1
2011.06.09,0:00,29.6,31.5,26.2,28.9,1
2011.06.10,0:00,28.9,29.4,20,24,26672
2011.06.11,0:00,23.9,24,13,14.7,1
2011.06.12,0:00,14.7,25,10.3,18.6,20122
2011.06.13,0:00,18.6,24.5,16,19.8,7885
2011.06.14,0:00,19.8,20.5,18,19.3,1
2011.06.15,0:00,19.3,20,19,19.5,27711
2011.06.16,0:00,19.5,19.9,17,17,1
2011.06.17,0:00,17,18.3,13,15.7,1
2011.06.18,0:00,15.7,17,15.1,16.9,1
2011.06.19,0:00,16.9,18.9,16.9,17.5,30176
2011.06.26,0:00,17.5,17.5,14,16.5,15053
2011.06.27,0:00,16.5,18,15,16.8,31452
2011.06.28,0:00,16.8,17.5,16.5,17,24398
2011.06.29,0:00,17,17.2,16.7,16.9,21043
2011.06.30,0:00,16.9,17,15.7,16.1,1
2011.07.01,0:00,16.1,16.7,15.3,15.4,1
2011.07.02,0:00,15.4,15.8,15.3,15.4,19453
2011.07.03,0:00,15.4,15.7,15.3,15.4,16792
2011.07.04,0:00,15.4,15.5,13.1,13.9,1
2011.07.05,0:00,13.9,15,11,12.9,18545
2011.07.06,0:00,12.9,16.5,12.7,14.8,1
2011.07.07,0:00,14.8,15.9,14.5,14.8,1
2011.07.08,0:00,14.8,15.6,13.9,14.3,1
2011.07.09,0:00,14.3,14.7,14,14.4,11909
2011.07.10,0:00,14.4,15.7,14.4,14.9,1
2011.07.11,0:00,14.9,15.2,13.8,14.2,1
2011.07.12,0:00,14.2,14.6,13.9,14,26356
2011.07.13,0:00,14,14.2,13.9,14,10338
2011.07.14,0:00,14,14.1,13.7,14,17661
2011.07.15,0:00,14,14.1,13.5,13.8,24819
2011.07.16,0:00,13.8,13.8,13.5,13.7,17264
2011.07.17,0:00,13.7,13.8,13,13.2,1
2011.07.18,0:00,13.2,13.9,12.5,13.5,10360
2011.07.19,0:00,13.5,14.7,13.4,13.9,2039
2011.07.20,0:00,13.9,14,13.4,13.7,23177
2011.07.21,0:00,13.7,13.8,13.4,13.6,25018
2011.07.22,0:00,13.6,13.8,13.5,13.7,15165
2011.07.23,0:00,13.7,13.8,13.5,13.7,22455
2011.07.24,0:00,13.7,14.1,13.6,14,26623
2011.07.25,0:00,14,14.7,13.8,14.1,31577
2011.07.26,0:00,14,14.1,13.8,13.9,16793
2011.07.27,0:00,13.9,14.1,13.9,13.9,11508
2011.07.28,0:00,13.9,13.9,13.3,13.5,32738
2011.07.29,0:00,13.5,13.7,13.3,13.5,7257
2011.07.30,0:00,13.5,13.6,13.5,13.5,6104
2011.07.31,0:00,13.5,14.9,12.8,13.4,1
2011.08.01,0:00,13.4,13.6,12.9,13.1,21748
2011.08.02,0:00,13.1,13.1,11.5,12.1,1
2011.08.03,0:00,12.1,12.2,8.7,9.3,24751
2011.08.04,0:00,9.3,11.2,9.3,10.8,1
2011.08.05,0:00,10.7,11,9.5,9.8,30765
2011.08.06,0:00,9.7,10,5.7,6.6,1
2011.08.07,0:00,6.5,9.5,6,7.9,24294
2011.08.08,0:00,7.9,8.2,7.1,7.8,1
2011.08.09,0:00,7.8,12.1,7.7,10,1
2011.08.10,0:00,10,10.4,9.5,10,24254
2011.08.11,0:00,10,10.5,8.5,9.5,1
2011.08.12,0:00,9.5,9.8,8.9,9.5,1
2011.08.13,0:00,9.5,10.3,9.3,10.1,29759
2011.08.14,0:00,10.1,11.2,9.6,10.8,1
2011.08.15,0:00,10.8,11.9,10.7,11.2,1
2011.08.16,0:00,11.2,11.3,10.8,11,15325
2011.08.17,0:00,11,11.1,10.7,11,22898
2011.08.18,0:00,11,11.1,10.8,10.8,8210
2011.08.19,0:00,10.8,11.8,10.8,11.7,1
2011.08.20,0:00,11.7,11.7,11.4,11.5,9915
2011.08.21,0:00,11.5,11.5,11.3,11.3,8720
2011.08.22,0:00,11.3,11.5,10.5,10.9,1
2011.08.23,0:00,10.9,11.3,10.8,10.9,12780
2011.08.24,0:00,10.9,11.1,10.8,10.9,7815
2011.08.25,0:00,10.9,10.9,9.1,9.7,1
2011.08.26,0:00,9.7,9.9,7.6,8.2,17468
2011.08.27,0:00,8.2,9.1,8.1,8.6,21998
2011.08.28,0:00,8.6,9.5,8.5,9.1,24155
2011.08.29,0:00,9.1,9.3,8.7,9,21651
2011.08.30,0:00,9,9,8.6,8.8,11773
2011.08.31,0:00,8.8,8.8,8,8.2,19648
2011.09.01,0:00,8.2,8.4,8.1,8.2,11903
2011.09.02,0:00,8.3,8.7,8.2,8.6,16814
