Date,Time,Open,High,Low,Close,Volume
1998.04.22,0:00,310.3,314.4,310,313.5,561
1998.04.23,0:00,312.6,315.2,311.9,314.3,491
1998.04.24,0:00,313.4,314.2,311.8,312.9,431
1998.04.28,0:00,309.39,310.9,306.3,308.2,802
1998.04.29,0:00,307.65,311.4,307,310.5,596
1998.04.30,0:00,310.79,312.1,305.5,306.9,932
1998.05.01,0:00,306.25,307.2,301.1,302.5,846
1998.05.05,0:00,303.65,305.25,302.5,303.6,546
1998.05.06,0:00,303.6,304.3,299.4,301,721
1998.05.07,0:00,300.45,301.5,296.6,298.75,811
1998.05.08,0:00,297.2,301.8,297.2,300.1,631
1998.05.12,0:00,299.8,300.6,296.9,298.2,581
1998.05.13,0:00,297.8,300.1,295.2,298.7,891
1998.05.14,0:00,297.8,298.8,295.1,298.8,641
1998.05.15,0:00,298.6,303.9,298.6,301.5,771
1998.05.19,0:00,299.15,300.7,298.1,299,506
1998.05.20,0:00,297.85,301.4,297,299.9,676
1998.05.21,0:00,299.1,300.9,298.7,300.9,261
1998.05.22,0:00,301,301.7,299.2,300.1,411
1998.05.26,0:00,299.3,300.1,294.7,295.8,731
1998.05.27,0:00,294.75,296.5,290.4,293.35,1081
1998.05.28,0:00,294.15,295,292.8,293.45,371
1998.05.29,0:00,292.65,294.8,291.2,293.2,666
1998.06.02,0:00,288,292.3,286.75,291.4,771
1998.06.03,0:00,290.85,294.65,290,293.4,676
1998.06.04,0:00,291.9,293.4,291.4,293.4,251
1998.06.05,0:00,292.6,294.2,290.3,291.9,711
1998.06.09,0:00,294.9,299.3,292.3,293.9,1301
1998.06.10,0:00,292.8,295.6,288.65,293.5,1321
1998.06.11,0:00,292.35,294.8,286.5,287.3,1156
1998.06.12,0:00,286.5,289.4,284.5,286.25,956
1998.06.16,0:00,284.25,289,283.95,288.9,546
1998.06.17,0:00,288.85,294.4,287.4,293.7,916
1998.06.18,0:00,295.7,296,290.9,293.5,801
1998.06.19,0:00,293,300.5,292,299,1101
1998.06.23,0:00,295.85,296.35,293.4,295.3,536
1998.06.24,0:00,293.75,295.4,291.9,293.1,636
1998.06.25,0:00,292.45,295.4,292,294.1,516
1998.06.26,0:00,293.25,295,292.1,294.1,496
1998.06.30,0:00,293.3,298.3,293.3,297.2,611
1998.07.01,0:00,297.65,298.7,295,296.7,646
1998.07.02,0:00,295.75,296.9,293.2,294.1,576
1998.07.03,0:00,293.5,295.55,293.4,295.1,271
1998.07.07,0:00,293.4,295.9,292.7,295.2,461
1998.07.08,0:00,294.9,296.15,290.8,293.5,931
1998.07.09,0:00,293,293.9,290.6,292.35,596
1998.07.10,0:00,291,291.95,289.5,291.1,481
1998.07.14,0:00,291.29,294.7,291.2,293.4,490
1998.07.15,0:00,292.95,294.7,292.05,294,426
1998.07.16,0:00,293.2,295.7,292.3,293.5,651
1998.07.17,0:00,293.1,294.9,292.8,294.75,256
1998.07.21,0:00,295.35,296.1,294.5,295.1,296
1998.07.22,0:00,294.6,295.6,293.6,294.5,391
1998.07.23,0:00,293.8,295.1,292,293.4,581
1998.07.24,0:00,293.8,295.4,290.2,291.7,831
1998.07.28,0:00,289.75,292.2,289.35,292,346
1998.07.29,0:00,291.5,292.4,289,290.3,561
1998.07.30,0:00,289.5,291.6,288.6,290.25,526
1998.07.31,0:00,288.8,290.5,285.7,286.7,751
1998.08.04,0:00,283.55,289.8,283.55,288.6,746
1998.08.05,0:00,289.55,290.35,286.9,288.2,556
1998.08.06,0:00,287.5,288.8,286.3,287.7,481
1998.08.07,0:00,287,288,285.2,286.9,551
1998.08.11,0:00,287.2,287.7,282.9,284.2,661
1998.08.12,0:00,283.8,286.9,282.1,283,881
1998.08.13,0:00,282.3,285.1,282,285.1,341
1998.08.14,0:00,284.95,286,283.3,284.3,476
1998.08.18,0:00,284.45,285.9,283.8,285.2,346
1998.08.19,0:00,285.3,287.3,282.7,283.6,751
1998.08.20,0:00,283.3,286.5,282.75,285.4,541
1998.08.21,0:00,284.65,286.2,283.2,285.05,561
1998.08.25,0:00,284.6,285.55,281.8,283.4,631
1998.08.26,0:00,282.7,285.5,280.8,282.5,921
1998.08.27,0:00,281.2,282.2,276.2,276.8,761
1998.08.28,0:00,278.4,278.4,270.75,274.6,1151
1998.09.01,0:00,277.1,280,276.85,279.1,431
1998.09.02,0:00,278.4,281.6,278.4,280.5,431
1998.09.03,0:00,279.8,286.9,278.1,285.2,1221
1998.09.04,0:00,285.4,287.7,284,287.1,571
1998.09.08,0:00,288,289,284.8,286.3,671
1998.09.09,0:00,286.3,287.35,282.9,284.5,711
1998.09.10,0:00,283.9,292.4,283.9,290.7,1021
1998.09.11,0:00,291.25,297.3,289.8,294,1226
1998.09.15,0:00,289.45,292.9,288.8,290.2,746
1998.09.16,0:00,289.05,290.6,287.2,287.9,566
1998.09.17,0:00,287.1,291.2,286.35,291.2,561
1998.09.18,0:00,292.3,292.8,289,291.7,701
1998.09.22,0:00,288.3,290.1,287.4,287.9,501
1998.09.23,0:00,287.25,289.5,287.05,289.5,266
1998.09.24,0:00,289.75,295.1,289.55,294.1,676
1998.09.25,0:00,294.05,300.3,293.5,294.4,1326
1998.09.29,0:00,296.35,297.9,293.2,294.9,796
1998.09.30,0:00,295.1,298,293.2,297.2,751
1998.10.01,0:00,296.2,301.7,294.8,300.55,946
1998.10.02,0:00,299.85,303.8,299,300.8,866
1998.10.06,0:00,295.45,298.1,293.8,296.5,756
1998.10.07,0:00,296.85,300.75,296.8,300.75,401
1998.10.08,0:00,301.85,305.2,299.1,299.9,1026
1998.10.09,0:00,300.3,302.5,296,297,971
